threshold,trade_count,total_return,sharpe_ratio,success_rate,max_drawdown
0.3,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.32,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.34,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.36000000000000004,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.38000000000000006,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.4000000000000001,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.4200000000000001,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.4400000000000001,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.46000000000000013,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.48000000000000015,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.5000000000000002,230,1.9281970771067911,16.37078175929611,0.6260869565217392,0.0
0.5200000000000002,225,1.8735811197434558,16.157187235538643,0.6222222222222222,0.0
0.5400000000000003,210,1.695728962335957,15.483350184031933,0.6142857142857143,0.0
0.5600000000000003,196,1.5612506020206256,14.889711767488858,0.6122448979591837,0.0
0.5800000000000003,187,1.447035724341076,14.488011752235936,0.6096256684491979,0.0
0.6000000000000003,172,1.277180394618325,13.854780089217002,0.6104651162790697,0.0
0.6200000000000003,159,1.106985588438027,13.286003964306646,0.610062893081761,0.0
0.6400000000000003,143,0.9518692981008137,13.043171724892908,0.6223776223776224,0.0
0.6600000000000004,125,0.7962860843761381,12.285650813155982,0.64,0.0
0.6800000000000004,109,0.6981553642328671,11.444434299038054,0.6697247706422018,0.0
0.7000000000000004,90,0.5455937717519868,10.482338362477265,0.6777777777777778,0.0
