trial_number,stability_score,overall_sharpe,fold_sharpes,confidence_threshold,params
24,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3038098757123194,"{""num_features"": 93, ""model"": ""rf"", ""rf_n_estimators"": 165, ""max_depth"": 28, ""min_samples_leaf"": 14, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3038098757123194}"
22,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.45009017658184064,"{""num_features"": 106, ""model"": ""rf"", ""rf_n_estimators"": 224, ""max_depth"": 53, ""min_samples_leaf"": 14, ""criterion"": ""gini"", ""confidence_threshold"": 0.45009017658184064}"
23,-3.2808745335142033,-2.4419912078586044,"[0.0, 0.0, 0.0, -5.4681, 0.0]",0.3019610531680764,"{""num_features"": 130, ""model"": ""rf"", ""rf_n_estimators"": 204, ""max_depth"": 45, ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""confidence_threshold"": 0.3019610531680764}"
21,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4736781084585097,"{""num_features"": 108, ""model"": ""rf"", ""rf_n_estimators"": 274, ""max_depth"": 60, ""min_samples_leaf"": 15, ""criterion"": ""gini"", ""confidence_threshold"": 0.4736781084585097}"
27,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.33200063106025707,"{""num_features"": 84, ""model"": ""rf"", ""rf_n_estimators"": 126, ""max_depth"": 11, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.33200063106025707}"
26,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3313078954031581,"{""num_features"": 127, ""model"": ""rf"", ""rf_n_estimators"": 125, ""max_depth"": 38, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3313078954031581}"
25,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.33726754753964594,"{""num_features"": 55, ""model"": ""rf"", ""rf_n_estimators"": 144, ""max_depth"": 35, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.33726754753964594}"
28,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.33205685907988847,"{""num_features"": 85, ""model"": ""rf"", ""rf_n_estimators"": 127, ""max_depth"": 76, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.33205685907988847}"
29,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4214287590491738,"{""num_features"": 55, ""model"": ""rf"", ""rf_n_estimators"": 328, ""max_depth"": 80, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4214287590491738}"
31,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4131342623356554,"{""num_features"": 94, ""model"": ""rf"", ""rf_n_estimators"": 333, ""max_depth"": 78, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4131342623356554}"
30,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4192425932192189,"{""num_features"": 59, ""model"": ""rf"", ""rf_n_estimators"": 337, ""max_depth"": 79, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4192425932192189}"
32,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.42498126428197386,"{""num_features"": 97, ""model"": ""rf"", ""rf_n_estimators"": 324, ""max_depth"": 79, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.42498126428197386}"
35,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.40644581052450546,"{""num_features"": 135, ""model"": ""rf"", ""rf_n_estimators"": 306, ""max_depth"": 100, ""min_samples_leaf"": 20, ""criterion"": ""gini"", ""confidence_threshold"": 0.40644581052450546}"
34,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4058682498249444,"{""num_features"": 135, ""model"": ""rf"", ""rf_n_estimators"": 330, ""max_depth"": 98, ""min_samples_leaf"": 20, ""criterion"": ""gini"", ""confidence_threshold"": 0.4058682498249444}"
36,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3607444914490056,"{""num_features"": 132, ""model"": ""rf"", ""rf_n_estimators"": 294, ""max_depth"": 97, ""min_samples_leaf"": 20, ""criterion"": ""gini"", ""confidence_threshold"": 0.3607444914490056}"
33,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4170627909549714,"{""num_features"": 98, ""model"": ""rf"", ""rf_n_estimators"": 353, ""max_depth"": 81, ""min_samples_leaf"": 17, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4170627909549714}"
37,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.48625016894883116,"{""num_features"": 120, ""model"": ""rf"", ""rf_n_estimators"": 358, ""max_depth"": 87, ""min_samples_leaf"": 18, ""criterion"": ""gini"", ""confidence_threshold"": 0.48625016894883116}"
39,-5.8461601414639475,-4.270114425671682,"[0.0, 0.0, 0.0, -8.3459, -4.1865]",0.43818124939708974,"{""num_features"": 118, ""model"": ""lgb"", ""lgb_n_estimators"": 387, ""learning_rate"": 0.1467586177188464, ""num_leaves"": 23, ""confidence_threshold"": 0.43818124939708974}"
38,-6.396525180924422,-4.010088124688578,"[0.0, 0.0, -5.1329, -8.602, -1.4795]",0.3627300951316068,"{""num_features"": 119, ""model"": ""lgb"", ""lgb_n_estimators"": 392, ""learning_rate"": 0.14775378176551812, ""num_leaves"": 26, ""confidence_threshold"": 0.3627300951316068}"
40,-5.3547071708753435,-3.6441020312664096,"[0.0, 0.0, 0.0, -8.602, -1.4559]",0.43869814252082784,"{""num_features"": 116, ""model"": ""lgb"", ""lgb_n_estimators"": 379, ""learning_rate"": 0.14303193053111068, ""num_leaves"": 27, ""confidence_threshold"": 0.43869814252082784}"
41,-5.515416196941738,-3.541144141540553,"[0.0, 0.0, 0.0, -8.7008, -2.0246]",0.43583963117391866,"{""num_features"": 115, ""model"": ""lgb"", ""lgb_n_estimators"": 392, ""learning_rate"": 0.1446396784727858, ""num_leaves"": 23, ""confidence_threshold"": 0.43583963117391866}"
44,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.34633635208690217,"{""num_features"": 142, ""model"": ""rf"", ""rf_n_estimators"": 398, ""max_depth"": 87, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""confidence_threshold"": 0.34633635208690217}"
46,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3173745162496917,"{""num_features"": 139, ""model"": ""rf"", ""rf_n_estimators"": 89, ""max_depth"": 91, ""min_samples_leaf"": 8, ""criterion"": ""gini"", ""confidence_threshold"": 0.3173745162496917}"
45,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.316246260912193,"{""num_features"": 140, ""model"": ""rf"", ""rf_n_estimators"": 372, ""max_depth"": 87, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""confidence_threshold"": 0.316246260912193}"
42,-5.368432105389552,-3.0164513605432277,"[0.0, 0.0, -1.7593, -8.502, -0.248]",0.31943095329415067,"{""num_features"": 71, ""model"": ""lgb"", ""lgb_n_estimators"": 288, ""learning_rate"": 0.13961472692170765, ""num_leaves"": 48, ""confidence_threshold"": 0.31943095329415067}"
43,-5.542616264515651,-2.512629990909578,"[0.0, 0.0, -3.1771, -8.3559, 2.4488]",0.3202393824299702,"{""num_features"": 72, ""model"": ""lgb"", ""lgb_n_estimators"": 281, ""learning_rate"": 0.12445202018821841, ""num_leaves"": 49, ""confidence_threshold"": 0.3202393824299702}"
49,-4.393862094440707,-3.2652929002566218,"[0.0, 0.0, 0.0, -7.3231, 0.0]",0.3457258485911684,"{""num_features"": 150, ""model"": ""rf"", ""rf_n_estimators"": 82, ""max_depth"": 10, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""confidence_threshold"": 0.3457258485911684}"
48,-4.393862094440707,-3.2652929002566218,"[0.0, 0.0, 0.0, -7.3231, 0.0]",0.3797282739083245,"{""num_features"": 72, ""model"": ""rf"", ""rf_n_estimators"": 242, ""max_depth"": 94, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""confidence_threshold"": 0.3797282739083245}"
47,-5.001603188344804,-3.7130637796452883,"[0.0, 0.0, 0.0, -8.336, 0.0]",0.3160128887059498,"{""num_features"": 70, ""model"": ""rf"", ""rf_n_estimators"": 361, ""max_depth"": 12, ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""confidence_threshold"": 0.3160128887059498}"
50,-5.110145727354356,-3.7928841923084744,"[0.0, 0.0, 0.0, -8.5169, 0.0]",0.34653071300032745,"{""num_features"": 149, ""model"": ""rf"", ""rf_n_estimators"": 253, ""max_depth"": 10, ""min_samples_leaf"": 2, ""criterion"": ""gini"", ""confidence_threshold"": 0.34653071300032745}"
51,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.37571058459798334,"{""num_features"": 102, ""model"": ""rf"", ""rf_n_estimators"": 303, ""max_depth"": 20, ""min_samples_leaf"": 12, ""criterion"": ""gini"", ""confidence_threshold"": 0.37571058459798334}"
53,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3985316071928299,"{""num_features"": 125, ""model"": ""rf"", ""rf_n_estimators"": 307, ""max_depth"": 52, ""min_samples_leaf"": 12, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3985316071928299}"
52,-5.1521385129944,-3.8237520728854077,"[0.0, 0.0, 0.0, -8.5869, 0.0]",0.38866621009737473,"{""num_features"": 32, ""model"": ""rf"", ""rf_n_estimators"": 358, ""max_depth"": 17, ""min_samples_leaf"": 2, ""criterion"": ""entropy"", ""confidence_threshold"": 0.38866621009737473}"
54,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4000262659054269,"{""num_features"": 144, ""model"": ""rf"", ""rf_n_estimators"": 381, ""max_depth"": 93, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4000262659054269}"
55,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3938255318703062,"{""num_features"": 143, ""model"": ""rf"", ""rf_n_estimators"": 391, ""max_depth"": 92, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3938255318703062}"
56,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.39061047264920834,"{""num_features"": 145, ""model"": ""rf"", ""rf_n_estimators"": 382, ""max_depth"": 92, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.39061047264920834}"
57,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38938685275288987,"{""num_features"": 144, ""model"": ""rf"", ""rf_n_estimators"": 381, ""max_depth"": 92, ""min_samples_leaf"": 17, ""criterion"": ""entropy"", ""confidence_threshold"": 0.38938685275288987}"
58,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3868073258174839,"{""num_features"": 146, ""model"": ""rf"", ""rf_n_estimators"": 384, ""max_depth"": 73, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3868073258174839}"
59,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.366771891344765,"{""num_features"": 147, ""model"": ""rf"", ""rf_n_estimators"": 377, ""max_depth"": 72, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""confidence_threshold"": 0.366771891344765}"
60,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.36618473811920843,"{""num_features"": 137, ""model"": ""rf"", ""rf_n_estimators"": 179, ""max_depth"": 84, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""confidence_threshold"": 0.36618473811920843}"
61,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3660857383025332,"{""num_features"": 89, ""model"": ""rf"", ""rf_n_estimators"": 204, ""max_depth"": 72, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3660857383025332}"
62,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3657023009984567,"{""num_features"": 138, ""model"": ""rf"", ""rf_n_estimators"": 178, ""max_depth"": 84, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3657023009984567}"
63,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3563513321626613,"{""num_features"": 39, ""model"": ""rf"", ""rf_n_estimators"": 194, ""max_depth"": 62, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3563513321626613}"
64,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.41080597800490437,"{""num_features"": 131, ""model"": ""rf"", ""rf_n_estimators"": 343, ""max_depth"": 64, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.41080597800490437}"
65,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.41000783377310285,"{""num_features"": 131, ""model"": ""rf"", ""rf_n_estimators"": 355, ""max_depth"": 62, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.41000783377310285}"
