trial_number,stability_score,overall_sharpe,fold_sharpes,confidence_threshold,params
86,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.32663840591694226,"{""num_features"": 93, ""model"": ""rf"", ""rf_n_estimators"": 279, ""max_depth"": 76, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.32663840591694226}"
81,-6.096180713891794,-4.206138874950394,"[0.0, 0.0, 0.0, -8.8327, -4.121]",0.32697612591806874,"{""num_features"": 142, ""model"": ""lgb"", ""lgb_n_estimators"": 335, ""learning_rate"": 0.02626690077383964, ""num_leaves"": 99, ""confidence_threshold"": 0.32697612591806874}"
88,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3933224732936991,"{""num_features"": 84, ""model"": ""rf"", ""rf_n_estimators"": 329, ""max_depth"": 69, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3933224732936991}"
89,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.39517834939083335,"{""num_features"": 100, ""model"": ""rf"", ""rf_n_estimators"": 284, ""max_depth"": 95, ""min_samples_leaf"": 11, ""criterion"": ""entropy"", ""confidence_threshold"": 0.39517834939083335}"
90,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.35323052716929143,"{""num_features"": 112, ""model"": ""rf"", ""rf_n_estimators"": 328, ""max_depth"": 100, ""min_samples_leaf"": 11, ""criterion"": ""gini"", ""confidence_threshold"": 0.35323052716929143}"
91,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3529169234585016,"{""num_features"": 146, ""model"": ""rf"", ""rf_n_estimators"": 330, ""max_depth"": 95, ""min_samples_leaf"": 11, ""criterion"": ""gini"", ""confidence_threshold"": 0.3529169234585016}"
92,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4717518483148587,"{""num_features"": 111, ""model"": ""rf"", ""rf_n_estimators"": 144, ""max_depth"": 88, ""min_samples_leaf"": 11, ""criterion"": ""gini"", ""confidence_threshold"": 0.4717518483148587}"
95,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3084850901681688,"{""num_features"": 105, ""model"": ""rf"", ""rf_n_estimators"": 137, ""max_depth"": 67, ""min_samples_leaf"": 12, ""criterion"": ""gini"", ""confidence_threshold"": 0.3084850901681688}"
93,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3550017661653324,"{""num_features"": 146, ""model"": ""rf"", ""rf_n_estimators"": 295, ""max_depth"": 89, ""min_samples_leaf"": 11, ""criterion"": ""gini"", ""confidence_threshold"": 0.3550017661653324}"
96,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3866354443753945,"{""num_features"": 105, ""model"": ""rf"", ""rf_n_estimators"": 297, ""max_depth"": 68, ""min_samples_leaf"": 12, ""criterion"": ""gini"", ""confidence_threshold"": 0.3866354443753945}"
94,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3107668297690458,"{""num_features"": 104, ""model"": ""rf"", ""rf_n_estimators"": 300, ""max_depth"": 68, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""confidence_threshold"": 0.3107668297690458}"
97,-5.1521385129944,-3.8237520728854077,"[0.0, 0.0, 0.0, -8.5869, 0.0]",0.38794846365657903,"{""num_features"": 96, ""model"": ""rf"", ""rf_n_estimators"": 294, ""max_depth"": 82, ""min_samples_leaf"": 3, ""criterion"": ""gini"", ""confidence_threshold"": 0.38794846365657903}"
98,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3844332045957338,"{""num_features"": 97, ""model"": ""rf"", ""rf_n_estimators"": 385, ""max_depth"": 35, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""confidence_threshold"": 0.3844332045957338}"
99,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3599573717319849,"{""num_features"": 96, ""model"": ""rf"", ""rf_n_estimators"": 386, ""max_depth"": 33, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3599573717319849}"
